drug_name,category,manufacturer,region,year,month,units_sold,price_per_unit,revenue,lifecycle,date
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2020,1,2832,11.0,31152.0,Maturity,2020-01-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2020,2,2669,11.0,29359.0,Maturity,2020-02-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2020,3,3095,11.0,34045.0,Maturity,2020-03-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2020,4,2916,11.0,32076.0,Maturity,2020-04-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2020,5,3117,11.0,34287.0,Maturity,2020-05-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2020,6,2965,11.0,32615.0,Maturity,2020-06-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2020,7,2868,11.0,31548.0,Maturity,2020-07-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2020,8,3157,11.0,34727.0,Maturity,2020-08-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2020,9,2875,11.0,31625.0,Maturity,2020-09-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2020,10,2782,11.0,30602.0,Maturity,2020-10-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2020,11,2927,11.0,32197.0,Maturity,2020-11-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2020,12,2893,11.0,31823.0,Maturity,2020-12-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2021,1,3009,10.91,32828.19,Maturity,2021-01-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2021,2,2581,10.91,28158.71,Maturity,2021-02-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2021,3,3083,10.91,33635.53,Maturity,2021-03-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2021,4,2957,10.91,32260.87,Maturity,2021-04-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2021,5,3421,10.91,37323.11,Maturity,2021-05-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2021,6,2907,10.91,31715.37,Maturity,2021-06-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2021,7,3442,10.91,37552.22,Maturity,2021-07-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2021,8,3287,10.91,35861.17,Maturity,2021-08-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2021,9,2734,10.91,29827.94,Maturity,2021-09-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2021,10,2592,10.91,28278.72,Maturity,2021-10-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2021,11,2940,10.91,32075.4,Maturity,2021-11-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2021,12,2536,10.91,27667.76,Maturity,2021-12-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2022,1,2899,11.65,33773.35,Maturity,2022-01-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2022,2,3193,11.65,37198.45,Maturity,2022-02-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2022,3,3096,11.65,36068.4,Maturity,2022-03-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2022,4,3276,11.65,38165.4,Maturity,2022-04-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2022,5,3090,11.65,35998.5,Maturity,2022-05-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2022,6,3518,11.65,40984.7,Maturity,2022-06-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2022,7,3363,11.65,39178.95,Maturity,2022-07-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2022,8,3428,11.65,39936.2,Maturity,2022-08-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2022,9,3349,11.65,39015.85,Maturity,2022-09-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2022,10,2860,11.65,33319.0,Maturity,2022-10-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2022,11,2626,11.65,30592.9,Maturity,2022-11-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2022,12,2672,11.65,31128.8,Maturity,2022-12-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2023,1,3109,10.49,32613.41,Maturity,2023-01-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2023,2,3037,10.49,31858.13,Maturity,2023-02-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2023,3,3008,10.49,31553.92,Maturity,2023-03-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2023,4,3480,10.49,36505.2,Maturity,2023-04-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2023,5,3159,10.49,33137.91,Maturity,2023-05-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2023,6,3237,10.49,33956.13,Maturity,2023-06-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2023,7,3497,10.49,36683.53,Maturity,2023-07-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2023,8,3481,10.49,36515.69,Maturity,2023-08-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2023,9,3441,10.49,36096.09,Maturity,2023-09-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2023,10,2923,10.49,30662.27,Maturity,2023-10-01
Amlodipine,Cardiovascular,Pfizer,Asia Pacific,2023,11,2737,10.49,28711.13,Maturity,2023-11-01
